tic,date,neg,neu,pos,compound
ADBE,2023-12-30,0.0,1.0,0.0,0.0
ADBE,2024-01-01,0.0,1.0,0.0,0.0
ADBE,2024-01-02,0.0,0.6433333333333333,0.3566666666666667,0.5221333333333333
ADBE,2024-01-03,0.057333333333333326,0.7993333333333333,0.14333333333333334,0.11369999999999998
ADBE,2024-01-04,0.0448,0.7236,0.23159999999999997,0.28753999999999996
ADBE,2024-01-05,0.0256,0.7737999999999999,0.2008,0.33196
ADBE,2024-01-08,0.0,0.761,0.239,0.5719
ADBE,2024-01-09,0.0,0.583,0.417,0.5106
ADBE,2024-01-10,0.0,1.0,0.0,0.0
ADBE,2024-01-12,0.0,0.772,0.22799999999999998,0.35682
ADBE,2024-01-16,0.0,0.551,0.449,0.6908
ADBE,2024-01-17,0.0,0.543,0.457,0.6369
ADBE,2024-01-18,0.09699999999999999,0.741,0.162,0.12123333333333335
ADBE,2024-01-20,0.0,0.798,0.20199999999999999,0.31070000000000003
ADBE,2024-01-22,0.0,0.826,0.17400000000000002,0.30086666666666667
ADBE,2024-01-23,0.09200000000000001,0.7946666666666666,0.11333333333333334,0.08533333333333333
ADBE,2024-01-24,0.0,0.609,0.391,0.5423
ADBE,2024-01-25,0.24633333333333338,0.6543333333333333,0.09966666666666668,-0.3065
ADBE,2024-01-26,0.0,0.8546666666666667,0.14533333333333334,0.25756666666666667
ADBE,2024-01-29,0.0,0.9376666666666665,0.06233333333333333,0.10606666666666666
ADBE,2024-01-30,0.174,0.8260000000000001,0.0,-0.2983
ADBE,2024-01-31,0.4075,0.426,0.16699999999999998,-0.7614000000000001
ADBE,2024-02-01,0.06866666666666667,0.7480000000000001,0.18333333333333335,0.11503333333333333
ADBE,2024-02-02,0.0,0.833,0.167,0.2023
ADI,2023-08-23,0.05128571428571428,0.9487142857142857,0.0,-0.054200000000000005
ADI,2023-08-24,0.03266666666666667,0.8708333333333332,0.09649999999999999,0.09053333333333335
ADI,2023-08-25,0.0,1.0,0.0,0.0
ADI,2023-08-29,0.0,1.0,0.0,0.0
ADI,2023-08-31,0.0,0.588,0.412,0.6369
ADI,2023-09-01,0.0,0.792,0.208,0.2732
ADI,2023-09-05,0.0,0.8360000000000001,0.164,0.2997
ADI,2023-09-06,0.0,1.0,0.0,0.0
ADI,2023-09-12,0.0,1.0,0.0,0.0
ADI,2023-09-14,0.358,0.642,0.0,-0.5994
ADI,2023-09-22,0.0,0.794,0.206,0.31845
ADI,2023-09-27,0.0,1.0,0.0,0.0
ADI,2023-10-03,0.0,0.735,0.265,0.2023
ADI,2023-10-04,0.0,1.0,0.0,0.0
ADI,2023-10-10,0.0,0.658,0.342,0.3818
ADI,2023-10-12,0.342,0.658,0.0,-0.6369
ADI,2023-10-16,0.0,1.0,0.0,0.0
ADI,2023-10-17,0.06766666666666667,0.8256666666666667,0.10633333333333334,0.0593
ADI,2023-10-18,0.0,1.0,0.0,0.0
ADI,2023-10-19,0.0,1.0,0.0,0.0
ADI,2023-10-20,0.0,1.0,0.0,0.0
ADI,2023-10-24,0.103,0.831,0.066,-0.125
ADI,2023-10-26,0.0,0.851,0.149,0.2732
ADI,2023-10-30,0.0,0.775,0.225,0.4939
ADI,2023-10-31,0.0,1.0,0.0,0.0
ADI,2023-11-01,0.0,0.42,0.58,0.8074
ADI,2023-11-06,0.0,1.0,0.0,0.0
ADI,2023-11-08,0.0,0.625,0.375,0.6369
ADI,2023-11-13,0.0,1.0,0.0,0.0
ADI,2023-11-14,0.0,1.0,0.0,0.0
ADI,2023-11-16,0.0,1.0,0.0,0.0
ADI,2023-11-17,0.0,1.0,0.0,0.0
ADI,2023-11-18,0.0,0.795,0.205,0.2023
ADI,2023-11-20,0.08875,0.91125,0.0,-0.074
ADI,2023-11-21,0.0,0.9721666666666667,0.027833333333333335,0.02961666666666667
ADI,2023-11-22,0.0,1.0,0.0,0.0
ADI,2023-11-23,0.0,0.8915,0.1085,0.1806
ADI,2023-11-27,0.0,1.0,0.0,0.0
ADI,2023-11-29,0.0,0.714,0.286,0.5267
ADI,2023-11-30,0.0,0.794,0.206,0.31845
ADI,2023-12-07,0.0,1.0,0.0,0.0
ADI,2023-12-08,0.0,0.794,0.206,0.31845
ADI,2023-12-11,0.0,1.0,0.0,0.0
ADI,2023-12-14,0.0,1.0,0.0,0.0
ADI,2023-12-21,0.0,0.902,0.098,0.22245
ADI,2024-01-08,0.0,1.0,0.0,0.0
ADI,2024-01-09,0.0,0.833,0.167,0.3818
ADI,2024-01-10,0.0,1.0,0.0,0.0
ADI,2024-01-11,0.0,0.796,0.204,0.3182
ADI,2024-01-18,0.0,1.0,0.0,0.0
ADI,2024-01-20,0.0,1.0,0.0,0.0
ADI,2024-01-22,0.116,0.698,0.186,0.296
ADI,2024-01-23,0.0,1.0,0.0,0.0
ADI,2024-01-24,0.0,0.821,0.179,0.34
ADI,2024-01-25,0.083,0.8415,0.0755,-0.0386
ADI,2024-01-30,0.0,1.0,0.0,0.0
ADI,2024-01-31,0.0,1.0,0.0,0.0
ADM,2023-11-13,0.0,0.769,0.231,0.2023
ADM,2023-11-14,0.0365,0.9635,0.0,-0.064
ADM,2023-11-18,0.199,0.621,0.18,-0.0772
ADM,2023-11-21,0.07675,0.8355,0.08775,0.020199999999999996
ADM,2023-11-23,0.0,1.0,0.0,0.0
ADM,2023-11-27,0.0,0.879,0.121,0.0258
ADM,2023-11-28,0.0,0.8125,0.1875,0.31845
ADM,2023-11-29,0.0,1.0,0.0,0.0
ADM,2023-12-01,0.0,1.0,0.0,0.0
ADM,2023-12-04,0.412,0.588,0.0,-0.6808
ADM,2023-12-05,0.094,0.765,0.141,0.2023
ADM,2023-12-07,0.0,0.821,0.179,0.34
ADM,2023-12-08,0.0,0.612,0.388,0.6908
ADM,2023-12-09,0.0,0.776,0.224,0.3818
ADM,2023-12-13,0.162,0.714,0.123,-0.1531
ADM,2023-12-17,0.0,1.0,0.0,0.0
ADM,2023-12-18,0.03525,0.82075,0.14425,0.22885
ADM,2023-12-19,0.0,0.784,0.216,0.398
ADM,2023-12-20,0.0,0.796,0.204,0.3182
ADM,2023-12-21,0.0,1.0,0.0,0.0
ADM,2023-12-22,0.0,0.556,0.444,0.4927
ADM,2023-12-24,0.0,1.0,0.0,0.0
ADM,2023-12-25,0.0,0.775,0.225,0.4404
ADM,2023-12-28,0.098,0.902,0.0,-0.148
ADM,2024-01-03,0.0,0.9183333333333333,0.08166666666666667,0.12726666666666667
ADM,2024-01-05,0.0,0.769,0.231,0.34
ADM,2024-01-09,0.0,1.0,0.0,0.0
ADM,2024-01-11,0.0655,0.7095,0.225,0.3182
ADM,2024-01-16,0.0,0.9065,0.0935,0.1591
ADM,2024-01-17,0.0,0.833,0.167,0.1027
ADM,2024-01-18,0.0,1.0,0.0,0.0
ADM,2024-01-21,0.07675,0.92325,0.0,-0.0387
ADM,2024-01-22,0.0601304347826087,0.8497391304347827,0.0901304347826087,0.051782608695652176
ADM,2024-01-23,0.123375,0.731375,0.145125,0.1000875
ADM,2024-01-24,0.137,0.79725,0.06575,-0.1819
ADM,2024-01-25,0.12933333333333333,0.8706666666666667,0.0,-0.1953
ADM,2024-01-26,0.0,1.0,0.0,0.0
ADM,2024-01-28,0.165,0.551,0.283,0.3612
ADM,2024-01-29,0.0,0.9593333333333334,0.04066666666666666,0.06743333333333333
